emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
dental assistant,9,NY,MORTGAGE,68000,Verified,12.9,NA,,NA,0,NA,2006,2,21,13,190200,21553,0,1,NA,0,0,1,4,5,13,0,0,4,30100,17,11,4,2,100,0,1,debt_consolidation,individual,23000,60,18.45,589.7,D,D2,Mar-2018,Current,whole,Cash,22280.83,1721.95,719.17,1002.78,0
supervisor,4,AZ,MORTGAGE,80000,Verified,35.15,123000,Source Verified,28.45,0,24,2003,0,31,13,320017,120476,0,0,NA,0,0,5,7,19,13,0,0,2,16300,10,7,3,3,96.8,0,0,debt_consolidation,joint,24000,60,10.91,520.75,B,B4,Feb-2018,Current,whole,Cash,22773.2,2068.45,1226.8,841.65,0
home care worker,10,NY,RENT,40000,Not Verified,7.17,NA,,NA,0,NA,2008,0,7,7,9700,5776,0,0,NA,0,0,0,2,NA,7,0,0,3,4700,7,7,5,0,100,0,0,credit_card,individual,10000,36,14.08,342.17,C,C3,Jan-2018,Current,whole,Cash,8849.12,1703.03,1150.88,552.15,0
"director, client engagement",7,KS,OWN,95000,Source Verified,23.02,NA,,NA,0,75,2000,2,23,12,436250,78706,0,0,NA,0,0,2,8,5,12,0,0,4,42400,13,9,5,5,95.7,0,0,debt_consolidation,individual,6400,36,14.08,218.99,C,C3,Jan-2018,Fully Paid,fractional,Cash,0,6615.1850269259,6400,215.19,0
executive ,0,IL,OWN,107000,Not Verified,10.11,NA,,NA,0,33,2005,1,14,8,110678,68358,0,0,NA,0,0,3,7,1,8,0,0,2,12900,7,5,4,0,78.6,0,0,debt_consolidation,individual,10000,36,10.91,326.97,B,B4,Jan-2018,Current,whole,Cash,9042.83,1301.82,957.17,344.65,0
,NA,NY,OWN,40000,Source Verified,14.34,150000,Source Verified,12.9,3,11,1986,0,22,15,74295,7271,0,0,NA,0,0,1,2,22,15,0,0,2,44500,21,14,3,0,81.8,0,0,debt_consolidation,joint,13000,60,11.99,289.12,B,B5,Jan-2018,Late (16-30 days),whole,Cash,12519.13,917,480.87,421.13,15
home health aid,4,MA,MORTGAGE,34000,Verified,23.01,NA,,NA,0,34,2003,1,14,7,200291,15387,0,0,34,0,0,1,3,5,7,0,0,3,18700,7,5,4,3,85.7,0,0,debt_consolidation,individual,6025,36,10.42,195.61,B,B3,Jan-2018,Current,whole,Cash,5295.98,974.56,729.02,245.54,0
system administrator,6,NY,RENT,66000,Source Verified,12.58,NA,,NA,0,NA,2013,0,10,9,38789,21883,0,0,NA,0,0,1,2,NA,9,0,0,4,14500,9,8,5,0,100,0,0,credit_card,individual,10000,36,19.42,368.69,D,D3,Mar-2018,Current,whole,Cash,9369.33,1084.49,630.67,453.82,0
service tech,2,OK,RENT,54500,Source Verified,24.64,70500,Source Verified,22.96,0,79,2007,4,15,9,100282,68742,0,1,NA,0,0,3,6,0,9,0,0,2,24800,7,6,3,1,93.3,0,1,debt_consolidation,joint,25000,60,10.42,536.36,B,B3,Jan-2018,Current,whole,Cash,23706.16,2130.97,1293.84,837.13,0
teacher,10,IN,MORTGAGE,65000,Not Verified,22.05,NA,,NA,0,52,1997,5,27,9,246682,72518,0,1,NA,0,0,3,5,4,9,0,0,1,9000,13,5,3,3,91.7,0,1,credit_card,individual,5500,36,10.9,179.81,B,B4,Mar-2018,Current,whole,Cash,5106.89,521.12,393.11,128.01,0
