w1_hid,w1_pid,sex,age,slequal_OT,SDweek_OT,lfsat_OT,wstress_OT,happy_OT,health_OT,wellbe_OT,wave,educ_kat,estat,deti5_OT,hincome_6,jetlag_OT
100005513,10000551301,2,40,3,7.119047619047619,9,0.3333333333333333,9,5,4.666666666666667,3,2,0,0,6,1.5
100008343,10000834302,1,70,3,11,5,NA,4,3,4.333333333333333,3,1,4,0,2,0
100005248,10000524802,2,57,2,6.380952380952381,5,0.3333333333333333,4,3,3.6666666666666665,3,2,0,0,3,1.5833333730697632
100006246,10000624601,1,50,3,8,8,0,9,2,5,3,2,1,0,2,0
100002174,10000217401,2,69,2,6.25,7,NA,6,3,4,3,2,4,0,3,0.25
100002993,10000299301,2,69,3,7,8,NA,10,3,5.333333333333333,3,2,4,0,3,0
100009452,10000945201,2,69,2,8.30952380952381,6,0,8,3,4.333333333333333,3,1,4,0,3,1.3333333730697632
100007116,10000711602,1,49,3,5.035714285714286,3,0.3333333333333333,9,2,4.666666666666667,3,1,0,0,5,2.375
100007786,10000778603,2,26,4,8.523809523809524,8,0.6666666666666666,9,5,5.666666666666667,3,3,0,0,6,2.375
100006838,10000683802,1,22,4,7.2142857142857135,5,0,5,4,4.333333333333333,3,2,0,0,1,1.75
100002423,10000242302,1,36,3,6.9642857142857135,8,0.3333333333333333,9,4,4,3,1,0,0,NA,2.375
100005825,10000582501,1,55,3,7.321428571428572,8,0.3333333333333333,8,4,4.666666666666667,3,3,0,0,6,0.875
100008152,10000815201,2,20,4,8,8,0.3333333333333333,7,4,4.333333333333333,3,2,0,0,1,0.5
100005533,10000553301,1,67,2,5,8,NA,8,2,3.6666666666666665,3,3,4,0,1,0.5
100001842,10000184201,1,31,3,7.142857142857142,7,0,7,4,5,3,2,0,0,3,1.5
100002326,10000232601,2,76,4,7,8,NA,7,2,4,3,1,4,0,2,0
100009163,10000916302,2,69,3,8,10,NA,10,3,3.6666666666666665,3,3,4,0,2,0
100003679,10000367903,1,15,4,7.9642857142857135,8,NA,8,5,4.666666666666667,3,1,3,0,5,2.375
100008395,10000839501,2,30,4,9.047619047619047,8,0.3333333333333333,8,4,3,3,2,0,0,6,1.6666666269302368
100008131,10000813104,1,16,3,8.142857142857142,7,NA,5,4,2.6666666666666665,3,1,3,0,6,1.25
100006532,10000653203,1,26,3,5.071428571428572,8,0.3333333333333333,7,4,4.333333333333333,3,2,0,0,NA,0.5
100006193,10000619301,2,75,3,11,3,NA,5,2,1.6666666666666667,3,2,4,0,2,0
100003281,10000328101,1,65,2,9.333333333333334,8,NA,8,2,3.6666666666666665,3,1,4,0,2,0.25
100006379,10000637902,1,52,3,5.604761904761905,8,0.3333333333333333,8,4,4.333333333333333,3,1,0,0,6,0.20000000298023224
100007811,10000781101,2,37,3,7,4,NA,3,2,4,3,3,0,1,3,0
100008439,10000843901,2,81,2,7.166666666666667,5,NA,3,2,2.3333333333333335,3,2,4,0,1,0.125
100007789,10000778902,2,40,3,9.476190476190476,9,0,9,4,3.6666666666666665,3,2,0,0,6,0.75
100009139,10000913901,2,35,3,7.428571428571429,10,0,10,4,5,3,2,0,1,6,1.75
100004414,10000441402,2,37,2,5.928571428571428,6,0,6,3,3,3,3,5,1,6,1.25
100007344,10000734401,1,32,2,7.321428571428572,6,0,4,2,2.3333333333333335,3,3,NA,1,4,2.75
100006789,10000678901,2,45,2,6.119047619047619,8,0,7,3,4.333333333333333,3,3,0,0,6,0.9166666865348816
