track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),R3HAB,80,0Y59j5oCvwTM2aNyPb6YpJ,All Around The World (La La La),2019-04-05,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,147840
04ZTP5KsCypmtCmQg5tH9R,I'm a Mess,Bebe Rexha,80,4TOkZvtqNpg5UHyGxCn0mS,Expectations,2018-06-22,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.63,0.694,11,-6.257,0,0.0253,0.00281,0,0.0719,0.216,97.005,195519
059bcIhyc2SBwm6sw2AZzd,Te Vi,Piso 21,83,02XOoh8XrlCc466QkkjGk5,Te Vi,2018-12-14,Latin Pop 2019,5wONX0lVyQE5XTxqjTUiUd,latin,latin pop,0.877,0.777,1,-4.246,1,0.117,0.0446,3.46e-5,0.0863,0.706,102.02,231848
07KXEDMj78x68D884wgVEm,High Fashion (feat. Mustard),Roddy Ricch,83,52u4anZbHd6UInnmHRFzba,Please Excuse Me For Being Antisocial,2019-12-06,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.831,0.499,11,-8.442,0,0.114,0.269,0,0.3,0.511,97.956,220487
07Oz5StQ7GRoygNLaXs2pd,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,89,1k1HuvFs562Z3CCiSYhtc1,Good as Hell (feat. Ariana Grande) [Remix],2019-10-25,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.668,0.892,5,-3.001,0,0.0645,0.298,0,0.735,0.478,95.927,159011
08bNPGLD8AhKpnnERrAc6G,FRIENDS,Marshmello,83,1BmxOYHjQv1dKZRr13YRZM,FRIENDS,2018-02-09,ELECTROPOP🐹,44p8nNLe4fGfUeArS3MaIX,pop,electropop,0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,202621
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,83,6mUdeDZCsExyJLMdAfDuwh,Back In Black,1980-07-25,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post-teen pop,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493
09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,81,6Fr2rQkZ383FcMqFyT7yPr,Purpose (Deluxe),2015-11-13,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,200787
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,84,7nEiwcUSwycvC77kZ9ub7c,The Middle,2018-01-23,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,184732
09nSCeCs6eYfAIJVfye1CE,Oye,TINI,81,1xwUFsb21qbGugy09vdd7O,Oye,2019-10-11,Latin Pop VIP,37i9dQZF1DX1QnNyJOBQBv,latin,latin pop,0.683,0.51,7,-7.894,0,0.0646,0.447,0,0.175,0.255,95.08,173021
09TZsMHXEtQkdmMJZPLKup,UP THE SMOKE (with Offset),Stunna 4 Vegas,81,1ID5rMIT1C61W2OLQ3rctp,UP THE SMOKE (with Offset),2019-11-08,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.907,0.765,4,-7.043,1,0.426,0.0512,0,0.153,0.896,142.992,188048
0afhq8XCExXpqazXczTSve,Galway Girl,Ed Sheeran,80,3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,ElectroPop 2020,4frhr6RQM2fMOm2mpvOVo6,pop,electropop,0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,170827
0bMbDctzMmTyK2j74j3nF3,"Alone, Pt. II",Alan Walker,85,700MviIgFKNTldTXmOAFOr,"Alone, Pt. II",2019-12-27,Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,pop,dance pop,0.67,0.668,3,-4.306,0,0.0422,0.536,0,0.133,0.608,88.033,179053
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,90,61ulfFSmmxMhc2wCdmdMkN,Merry Christmas,1994-11-01,Christmas Soul,6FZYc2BvF7tColxO8PBShV,r&b,neo soul,0.335,0.625,7,-7.462,1,0.0386,0.164,0,0.0708,0.346,150.277,241107
0c7K73roy6RW4ebDkf4yGh,VALENTINO,24kGoldn,84,2iPZkrN305Ow3wO0LL90Cg,VALENTINO,2019-01-25,A1 Hip-Hop,37i9dQZF1DX0sDai2F5jCQ,rap,hip hop,0.745,0.718,9,-4.853,0,0.183,0.197,0,0.134,0.539,151.097,179133
0Cn8NxJZz7zUlsaA3rXoIU,Easy - Remix,Jhay Cortez,81,3Y00aLNDKDq9rXR3cIcbDo,Easy (Remix),2019-11-19,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.886,0.752,1,-3.819,0,0.0949,0.191,2.76e-6,0.146,0.435,94.066,220147
