Movie,Total Gross,Opening,Screens,RT,International,DVD,Budget,Rating,Genre
12 Rounds,12.2347,5.3292,2331,29,5.949389,8.951972,20,PG-13,Action
17 Again,64.1671,23.7223,3255,55,72.1,26.435733,20,PG-13,Comedy
2012,166.1122,65.2376,3404,39,600.7,51.882778,200,PG-13,Action
9,31.7499,10.7404,1661,57,14.853897,9.945559,30,PG-13,Adventure
A Christmas Carol,137.8559,30.0511,3683,53,185.887881,36.258777,190,PG,Drama
A Perfect Getaway,15.5155,5.9486,2159,60,5.097838,5.492831,14,R,Thriller
Adventureland,16.044,5.722,1862,89,1.1,10.618378,9.8,R,Comedy
Aliens in the Attic,25.2004,8.0084,3106,30,34.350871,12.213222,45,PG,Adventure
All About Steve,33.8629,11.2412,2251,6,6.264356,7.889643,,PG-13,Romance
Alvin and the Chipmunks: The Squeaksquel,219.6146,48.8754,3700,21,223.868601,70.583392,70,PG,Comedy
Amelia,14.2454,3.904,820,21,5.476502,6.06781,40,PG,Drama
Angels and Demons,133.3758,46.2042,3527,36,357.5,34.702825,150,PG-13,Thriller
Armored,15.9889,6.5111,1915,42,7.672162,6.180928,20,PG-13,Thriller
Astro Boy,19.5511,6.7029,3014,50,24.541947,9.352985,65,PG,Adventure
Avatar,749.085,77.025,3452,83,2023.411357,190.224993,237,PG-13,Adventure
Bride Wars,58.7155,21.0582,3226,11,56.434914,31.79507,30,PG,Comedy
Brothers,28.5442,9.5278,2088,61,8.292387,10.801702,26,R,Drama
Bruno,60.0545,30.6191,2756,68,70.733713,11.794363,42,R,Comedy
Cirque du Freak: The Vampire's Assistant,13.8695,6.2932,2754,38,20.325874,8.388655,40,PG-13,Action
Cloudy with a Chance of Meatballs,124.8703,30.3046,3119,86,14.655587,46.043292,100,PG,Comedy
Confessions of a Shopaholic,44.2774,15.0664,2507,25,63.750351,17.605692,,PG,Comedy
Coraline,75.2862,16.8496,2299,90,48.776521,47.08195,60,PG,Adventure
Couples Retreat,109.2049,34.2867,3000,12,63.244763,38.544657,60,PG-13,Comedy
Crank: High Voltage,13.6842,6.9636,2223,63,16.323632,17.123415,20,R,Thriller
Dance Flick,25.6622,10.6435,2450,18,6.430606,,25,PG-13,Comedy
Did You Hear About the Morgans?,29.5801,6.6166,2718,12,50.900479,8.001579,58,PG-13,Comedy
District 9,115.6462,37.3543,3049,91,99.550392,31.68848,30,R,Thriller
Drag Me to Hell,42.1006,15.8255,2508,92,48.7,13.834804,30,PG-13,Horror
Dragonball Evolution,9.3628,4.7565,2181,14,48.865675,6.228177,30,PG,Adventure
Duplicity,40.5728,13.9651,2574,64,40.506741,11.501061,60,PG-13,Thriller
Earth,32.0116,8.8258,1804,87,77,15.291645,15,G,Documentary
Everybody's Fine,9.2089,3.8521,2133,46,7.234733,7.245974,20,PG-13,Comedy
Extract,10.8232,4.3401,1611,63,0.026,,7.5,R,Comedy
Fame,22.4555,10.0117,3096,25,55.501447,5.348744,18,PG,Musical
Fast and Furious,155.0643,70.9505,3461,27,208,54.432583,85,PG-13,Action
Fighting,23.091,11.0244,2309,40,9.4,14.517194,,PG-13,Action
Fired Up,17.2313,5.4838,1810,22,1.367811,9.990718,20,PG-13,Comedy
Friday the 13th,65.002,40.5704,3105,25,26.698752,10.137994,17,R,Horror
Funny People,51.855,22.6578,3007,68,20.02526,14.912549,72.5,R,Comedy
G-Force,119.4368,31.7069,3697,21,167.952915,45.374494,150,PG,Adventure
G.I. Joe: The Rise of the Cobra,150.2015,54.713,4007,33,152.267519,71.007737,175,PG-13,Action
Gamer,20.5349,9.1561,2502,30,14.527776,11.25134,15,R,Action
Ghosts of Girlfriends Past,55.25,15.4114,3175,27,47.262776,23.250584,,PG-13,Comedy
Halloween II,33.393,16.3496,3025,21,5.119877,8.695851,15,R,Horror
Hannah Montana the Movie,79.5762,32.3245,3118,44,70.517964,60.880036,30,G,Drama
Harry Potter and the Half-Blood Prince,301.9592,77.8357,4325,84,632.45729,117.764221,250,PG,Adventure
He's Just Not That Into You,93.9537,27.7855,3175,42,84.43659,26.608758,40,PG-13,Comedy
Hotel for Dogs,73.0345,17.0122,3271,46,45.196303,33.266962,35,PG,Comedy
I Love You Beth Cooper,14.8007,4.9194,1858,14,1.581813,6.16649,18,PG-13,Comedy
"I Love You, Man",71.44,17.8103,2711,83,20.289492,26.158499,40,R,Comedy
Ice Age: Dawn of the Dinosaurs,196.5737,41.6904,4099,45,690.39499,88.985822,90,PG,Adventure
Imagine That,16.1233,5.5035,3008,38,6.861871,,55,PG,Comedy
Inglorious Basterds,120.5401,38.0547,3165,88,199.558388,61.150675,70,R,Action
Inkheart,17.3034,7.6014,2655,39,40.74803,8.67921,60,PG,Adventure
Invictus,37.4914,8.6111,2125,75,87,14.27462,49,PG-13,Drama
It's Complicated,112.7354,22.1008,2887,56,111.879369,36.804683,85,R,Comedy
Jennifer's Body,16.2048,6.8684,2702,43,16.627373,5.66912,16,R,Thriller
Jonas Brothers: The 3D Concert Experience,19.1627,12.5104,1271,24,11.266091,9.021313,,G,Concert
Julie and Julia,94.1254,20.028,2354,75,32.520693,45.009561,40,PG-13,Comedy
Knowing,79.9576,24.6048,3332,33,107.901008,24.016133,50,PG-13,Thriller
Land of the Lost,49.4384,18.8374,3521,27,20.110271,20.416252,100,PG-13,Comedy
Law Abiding Citizen,73.3577,21.0395,2890,25,53.081411,22.237633,53,R,Thriller
Love Happens,22.9651,8.057,1898,18,12.4,8.065017,18,PG-13,Drama
Michael Jackson's This Is It,72.091,23.2344,3481,81,180,44.884902,60,PG,Documentary
Monsters vs. Aliens,198.3515,59.3211,4104,72,183.335854,85.645193,175,PG,Adventure
My Bloody Valentine 3D,51.546,21.2415,2534,56,51.209046,21.536383,14,R,Horror
My Life in Ruins,8.6652,3.2232,1164,9,11.8,8.91935,17,PG-13,Comedy
My Sister's Keeper,49.2,12.4422,2606,48,39.853765,23.42043,27.5,PG-13,Drama
New in Town,16.7343,6.7415,1941,27,6.2,17.668636,8,PG,Comedy
Next Day Air,10.027,4.111,1138,21,0.145472,10.278095,3,R,Comedy
Night at the Museum: Battle of the Smithsonian,177.2437,54.1733,4096,43,235.81091,51.257952,150,PG,Comedy
Ninja Assasin,38.1229,13.3162,2503,25,23.5,16.271735,50,R,Action
Not Easily Broken,10.5727,5.3143,724,34,0.154167,14.847291,5,PG-13,Drama
Notorious,36.8437,20.4976,1638,50,7.631473,21.63952,19,R,Drama
Observe and Report,24.0073,11.0173,2727,51,2.96623,13.316505,18,R,Comedy
Obsessed,68.2616,28.6127,2514,20,3.619388,20.662106,20,PG-13,Thriller
Old Dogs,49.4921,16.8945,3425,5,47.3,24.815933,35,PG,Comedy
Orphan,41.596,12.8715,2750,56,36.741122,13.645321,,R,Drama
Pandorum,10.3309,4.4241,2506,27,6.702578,5.606294,40,R,Horror
Paul Blart: Mall Cop,146.3362,31.8326,3144,33,35.4348,54.789371,26,PG,Comedy
Planet 51,42.1941,12.2861,3035,22,65.811685,17.097589,60,PG,Adventure
